 "Paper_title" "paper_reference" "fitness_proxy_used"  "Species" "data_extraction_method " "Mean_sex_not_considered" "standard_error" "Confidence_interval " "Mean_male" "Standard_error_male " "Mean_female" "Standard_error_female" "median_female" "median_male " "standard_deviation" "variance " "effect_sizes" "Selection_temperature" "Assay_temperature" "Control_or_selection_line" "Time_series " "Replicate" "Male_data " "Female_data " "Culture_plate " "Sex_not_considered_data " "Technical_replicate"
                   26.3 18 "2200 +T"      1.241 
                   26.3 18 "2200 +T"      1.122 
                   26.3 18 "2200 +T"      1.205 
                   26.3 22 "400 +T"      1.499 
                   26.3 22 "400 +T"      1.471 
                   26.3 22 "400 +T"      1.447 
                   26.3 22 "400 +T"      1.472 
                   26.3 22 "400 +T"      1.413 
                   26.3 22 "1100 +T"      1.437 
                   26.3 22 "1100 +T"      1.41 
                   26.3 22 "1100 +T"      1.404 
                   26.3 22 "1100 +T"      1.382 
                   26.3 22 "1100 +T"      1.359 
                   26.3 22 "2200 +T"      1.339 
                   26.3 22 "2200 +T"      1.26 
                   26.3 22 "2200 +T"      1.321 
                   26.3 22 "2200 +T"      1.286 
                   26.3 22 "2200 +T"      1.287 
                   26.3 24 "400 +T"      1.306 
                   26.3 24 "400 +T"      1.34 
                   26.3 24 "400 +T"      1.351 
                   26.3 24 "400 +T"      1.377 
                   26.3 24 "400 +T"      1.416 
                   26.3 24 "1100 +T"      1.396 
                   26.3 24 "1100 +T"      1.355 
                   26.3 24 "1100 +T"      1.39 
                   26.3 24 "1100 +T"      1.331 
                   26.3 24 "1100 +T"      1.36 
                   26.3 24 "2200 +T"      1.231 
                   26.3 24 "2200 +T"      1.384 
                   26.3 24 "2200 +T"      1.464 
                   26.3 24 "2200 +T"      1.383 
                   26.3 24 "2200 +T"      1.242 
                   26.3 26 "400 +T"      1.147 
                   26.3 26 "400 +T"      1.178 
                   26.3 26 "400 +T"      1.247 
                   26.3 26 "400 +T"      1.316 
                   26.3 26 "400 +T"      1.312 
                   26.3 26 "1100 +T"      1.015 
                   26.3 26 "1100 +T"      1.306 
                   26.3 26 "1100 +T"      1.195 
                   26.3 26 "1100 +T"      1.097 
                   26.3 26 "1100 +T"      0.814 
                   26.3 26 "2200 +T"      0.99 
                   26.3 26 "2200 +T"      0.994 
                   26.3 26 "2200 +T"      1.183 
                   26.3 26 "2200 +T"      1.043 
                   26.3 26 "2200 +T"      1.08 
                   26.3 27 "400 +T"      0.7 
                   26.3 27 "400 +T"      0 
                   26.3 27 "400 +T"      0.814 
                   26.3 27 "400 +T"      0.752 
                   26.3 27 "400 +T"      0.677 
                   26.3 27 "1100 +T"      1.023 
                   26.3 27 "1100 +T"      0.618 
                   26.3 27 "1100 +T"      0.672 
                   26.3 27 "1100 +T"      0.629 
                   26.3 27 "1100 +T"      0.723 
                   26.3 27 "2200 +T"      0.608 
                   26.3 27 "2200 +T"      0.597 
                   26.3 27 "2200 +T"      0.751 
                   26.3 27 "2200 +T"      0.614 
                   26.3 27 "2200 +T"      0.698 
